UserID,UserNo,Name,Email,IP Address,Unique ID,Started,Ended,Tracking Link,Q8978198,Q8978199,Q8978200,Q8978201,Q8978202,Q8978205,Q8978206,,Q10160220,,,,Q8978209,Q8978203,Q8978204,,Q8978207,Q8978210,,,,Q9215126,Q9215135,Q8978211,,,,,,,,,,,Q10765296,Q9562712,Q9864001,Q8978212,,Q9480381,Q8978221,,,Q8978222,Q9512985,Q9456395,Q8978224,,,,,Q9505407,Q8978226,Q9512168,Q8978227,Q8978228,Q8978229,,,,,,Q9442572,Q9065119,,,,,,,,,,,,,,,,Q8978233,,,,,,,,Q9505480,Q9442668,,,,,,,,,,,,,,,,Q9442669,Q9442670,,,,,,Q8978235,,,,,,,,,,,,,Q8978236,,,,,,Q8978240,Q8978238,Q9318333,Q8978234,,,,,,Q8978237,Q8978241,,,,,,,,,,,,,,,,Q8978242,Q8978243,,,,,,,,,,,,,,,,,Q8978244,,,,,,Q8978245,Q8978246,Q8978247,Q8978248,,,,,,,,,,,Q8978249,Q8978250,Q8978251,Q8978252,,,Q8978253,,,,Q8978254,Q8978255,Q8978256,Q8978257,Q8978258,Q8978259,Q8978260,Q8978261,Q8978262,,,,,,,Q8978263,,,,,,Q8978264,,,Q8978265,,Q10861459,,,,,,,,,,Q8978266,,,,,
,,,,,,,,,15,Other,"Gay, lesbian or bisexual",Black,No religion,Year 11,The Adeyfield Academy,Missing,No,No,Yes,No,Missing,One parent,,,No,9,Missing,Missing,Missing,5,4,On most days,On most days,2-3 days a week,On most days,Rarely or never,Once a week or less,On most days,Once a week or less,Rarely or never,Once a week or less,Missing,0,Don't know/ Prefer not to say,1,4,Missing,Missing,Yes,No,Yes,Missing,I vape regularly (once a week or more),"Yes, I'd like to stop smoking",No,No,No,No,Yes,Missing,Never,"No, I want to keep drinking alcohol",3,Missing,No,No,No,No,Yes,No,Missing,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,I'd like to reduce the amount I take but not stop,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Missing,Missing,I have heard of it but know nothing about it,It can be treated but not cured,I have heard of it but know nothing about it,Missing,Doctor,Not sure,Missing,Agree,Not sure,Agree,Agree,Missing,Disagree,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Prefer not to say,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Missing,Yes,No,No,Unsafe,Safe,Safe,Missing,No,No,Sometimes,No,No,No,No,Missing,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Sometimes,Sometimes,Missing,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,No,No,No
,,,,,,,,,13,Other,Transgender,Black,Muslim,Year 7,Missing,Missing,No,No,No,No,Missing,One parent,,,No,9,Missing,Missing,Missing,2,10,2-3 days a week,Rarely or never,Rarely or never,Once a week or less,2-3 days a week,Once a week or less,On most days,On most days,Rarely or never,2-3 days a week,Missing,0,Overweight,2 or more,3,Missing,3,No,No,No,I have never smoked,Missing,Missing,No,No,No,No,No,Missing,2-4 times a month,Missing,3,Missing,No,No,No,No,No,No,I have never taken drugs,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Missing,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Missing,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,Missing,Youth Service/Worker,Yes,Missing,Disagree,Missing,Disagree,Disagree,Disagree,Disagree,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Missing,Prefer not to say,Missing,Not sure,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Neither safe or unsafe,Neither safe or unsafe,Missing,Missing,No,"Yes, but I wasn't the victim",Never,Don't know,Missing,Once or twice,No,Missing,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Not sure,No,Sometimes,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Missing,Yes,Missing,Maybe,Yes,Yes
,,,,,,,,,15,Other,Heterosexual/Straight,Black,Muslim,Year 12,Missing,Missing,No,No,No,No,No,One parent,,,No,9,Missing,Missing,Missing,9,7,Once a week or less,Rarely or never,2-3 days a week,On most days,Rarely or never,Once a week or less,2-3 days a week,2-3 days a week,Rarely or never,Once a week or less,Missing,0,Underweight,0,1,Missing,0,No,No,Yes,Missing,I have vaped once or twice,Missing,No,No,No,No,No,Missing,Monthly or less,I'd like to reduce the amount I drink but not stop,Missing,Weekly,No,No,No,No,Yes,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,I'd like to reduce the amount I take but not stop,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,Missing,I have heard of it but know nothing about it,Missing,I have never heard of it,Sexual health clinic,Not sure,Missing,Agree,Not sure,Disagree,Agree,Disagree,Missing,Missing,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Missing,Missing,Missing,Missing,Missing,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Missing,No,No,No,Neither safe or unsafe,Neither safe or unsafe,Unsafe,Safe,"Yes, but I wasn't the victim","Yes, I was the victim",Always,No,Once or twice,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Missing,Sometimes,Missing,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
,,,,,,,,,13,Male,Heterosexual/Straight,White,No religion,Year 11,Missing,Missing,No,No,Yes,No,Missing,Both parents,,,Prefer not to say,8,Missing,Missing,Missing,5,6,Rarely or never,On most days,2-3 days a week,Once a week or less,Rarely or never,Once a week or less,2-3 days a week,Once a week or less,Rarely or never,On most days,Missing,0,Don't know/ Prefer not to say,1,3,Missing,0,Yes,No,No,I have never smoked,I vape regularly (once a week or more),"Yes, I'd like to stop smoking",No,No,No,No,No,No,2-4 times a month,Missing,6,Monthly,No,No,No,No,No,No,I have never taken drugs,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Missing,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Missing,Missing,It can be both treated and cured,I have heard of it but know nothing about it,It can be both treated and cured,Missing,Doctor,Not sure,Missing,Agree,Not sure,Disagree,Not sure,Missing,Missing,Missing,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Missing,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Missing,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Missing,No,No,No,Missing,Missing,Safe,Unsafe,"Yes, I was the victim","Yes, I was the victim",Never,Missing,Missing,Missing,Most days/Every day,Missing,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Missing,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,Maybe,Missing,Maybe
,,,,,,,,,13,Male,Heterosexual/Straight,Black,Christian,Year 11,Missing,Missing,No,No,No,No,Missing,Both parents,,,Prefer not to say,5,Missing,Missing,Missing,8,8,Once a week or less,Rarely or never,On most days,On most days,On most days,Once a week or less,2-3 days a week,2-3 days a week,2-3 days a week,On most days,Missing,0,Overweight,2 or more,4,Missing,0,Yes,No,No,I have never smoked,I vape regularly (once a week or more),Missing,No,No,No,No,Yes,Missing,Never,"No, I want to keep drinking alcohol",6,Missing,Yes,No,No,No,Yes,No,I have never taken drugs,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Missing,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Missing,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Missing,Missing,I have heard of it but know nothing about it,It can be treated but not cured,It can be both treated and cured,It can be treated but not cured,Online (e.g. Sexwise website),Not sure,Missing,Agree,Agree,Missing,Agree,Disagree,Disagree,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Not sure,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Missing,No,Missing,Prefer not to say,Missing,Prefer not to say,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Neither safe or unsafe,Missing,Safe,Neither safe or unsafe,No,No,Never,Prefer not to say,Prefer not to say,No,Missing,Missing,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Missing,Sometimes,Sometimes,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,Maybe,No,Yes
,,,,,,,,,18,Female,"Gay, lesbian or bisexual",Black,No religion,Year 10,Missing,Missing,No,Yes,No,No,Missing,One parent,,,Prefer not to say,8,Missing,Missing,Missing,5,4,Rarely or never,Once a week or less,2-3 days a week,On most days,Rarely or never,Once a week or less,Rarely or never,Once a week or less,Once a week or less,On most days,Missing,0,Overweight,2 or more,0,Missing,Missing,Yes,No,No,I smoke occasionally (less than 1 cigarette a week),I have vaped once or twice,I'd like to reduce the amount I smoke but not stop,No,No,No,Yes,Yes,Missing,Never,"No, I want to keep drinking alcohol",9,Less than monthly,No,No,No,No,Yes,No,I take drugs occasionally (less than once a week),No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Missing,Missing,It can be treated but not cured,It can be treated but not cured,It can be both treated and cured,It can be both treated and cured,Doctor,Missing,Missing,Agree,Agree,Disagree,Agree,Agree,Not sure,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Missing,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,Yes,No,No,No,Neither safe or unsafe,Safe,Safe,Neither safe or unsafe,"Yes, I was the victim",No,Never,No,Once or twice,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Sometimes,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,No,Maybe,Yes
,,,,,,,,,15,Female,Heterosexual/Straight,Black,Buddhist,Year 11,The Adeyfield Academy,Missing,No,No,No,No,Missing,One parent,,,No,4,Missing,Missing,Missing,2,7,2-3 days a week,Rarely or never,2-3 days a week,On most days,Rarely or never,Rarely or never,Rarely or never,Rarely or never,On most days,Once a week or less,Missing,0,Overweight,2 or more,6,Missing,5,Yes,No,No,I have never smoked,I have vaped once or twice,I'd like to reduce the amount I smoke but not stop,No,No,No,Yes,No,Missing,Never,Missing,Missing,Missing,No,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,"No, I want to keep taking drugs",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be treated but not cured,I have never heard of it,School/College,Yes,Missing,Agree,Not sure,Agree,Agree,Agree,Disagree,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Missing,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Missing,Missing,No,No,No,No,Missing,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Neither safe or unsafe,Safe,Unsafe,Neither safe or unsafe,"Yes, but I wasn't the victim","Yes, but I wasn't the victim",Never,No,No,Once or twice,Most days/Every day,Missing,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Sometimes,Missing,Missing,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Maybe,No,No
,,,,,,,,,15,Male,Heterosexual/Straight,Chinese,Buddhist,Year 11,The Adeyfield Academy,Missing,No,No,No,No,No,Both parents,,,Prefer not to say,5,Missing,Missing,Missing,3,6,2-3 days a week,On most days,On most days,On most days,Rarely or never,Once a week or less,2-3 days a week,On most days,Once a week or less,On most days,Missing,0,Don't know/ Prefer not to say,2 or more,7,Missing,5,No,No,No,I have tried smoking once or twice,Missing,Missing,No,No,No,Yes,Yes,Missing,4 or more times a week,Missing,9,Monthly,Yes,No,No,Yes,Yes,No,I take drugs occasionally (less than once a week),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I'd like to reduce the amount I take but not stop,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,It can be treated but not cured,School/College,Not sure,Missing,Agree,Missing,Disagree,Not sure,Not sure,Not sure,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Missing,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Missing,No,No,No,No,Prefer not to say,Yes,Not sure,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Neither safe or unsafe,Unsafe,Safe,Neither safe or unsafe,No,Missing,Missing,Missing,No,Once or twice,Most days/Every day,Missing,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Missing,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Missing,No,No,Yes
,,,,,,,,,14,Female,Transgender,Black,No religion,Year 10,The Adeyfield Academy,Missing,No,No,No,No,Yes,One parent,,,Prefer not to say,4,Missing,Missing,Missing,5,6,2-3 days a week,Rarely or never,On most days,On most days,Rarely or never,Once a week or less,On most days,Once a week or less,2-3 days a week,On most days,Missing,0,Overweight,1,1,Missing,3,Yes,No,No,I smoke occasionally (less than 1 cigarette a week),I have vaped once or twice,"Yes, I'd like to stop smoking",No,No,No,No,No,Missing,Monthly or less,Missing,Missing,Monthly,No,No,No,Yes,No,No,I take drugs occasionally (less than once a week),No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"No, I want to keep taking drugs",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,It can be treated but not cured,It can be treated but not cured,It can be both treated and cured,I have never heard of it,Sexual health clinic,Not sure,Missing,Not sure,Agree,Disagree,Disagree,Missing,Disagree,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Prefer not to say,Yes,No,No,No,No,No,Yes,No,No,No,No,Missing,Yes,Yes,Yes,No,No,Unsafe,Unsafe,Unsafe,Neither safe or unsafe,No,"Yes, I was the victim",Never,No,No,Once or twice,Missing,Prefer not to say,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Missing,Missing,Yes,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,No,Missing,Missing
,,,,,,,,,17,Male,Heterosexual/Straight,White,Muslim,Year 11,The Adeyfield Academy,Missing,No,No,No,No,No,One parent,,,Prefer not to say,9,Missing,Missing,Missing,2,8,2-3 days a week,On most days,Rarely or never,On most days,2-3 days a week,Once a week or less,Once a week or less,Once a week or less,Rarely or never,On most days,Missing,0,Overweight,2 or more,3,Missing,3,Yes,No,No,I have tried smoking once or twice,I have never vaped,Missing,No,No,No,No,Yes,No,Monthly or less,"No, I want to keep drinking alcohol",Missing,Missing,No,No,No,No,Yes,No,I take drugs occasionally (less than once a week),No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Missing,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Missing,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,Missing,It can be both treated and cured,Youth Service/Worker,Missing,Missing,Agree,Agree,Disagree,Missing,Agree,Agree,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Missing,No,Yes,Yes,No,Yes,Not sure,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Missing,Safe,Safe,Unsafe,No,"Yes, I was the victim",Never,Missing,Missing,No,Once or twice,Missing,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Missing,Sometimes,No,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Missing,No,Yes,Maybe
,,,,,,,,,18,Female,Heterosexual/Straight,Black,No religion,Year 11,The Adeyfield Academy,Missing,Yes,No,No,No,Missing,One parent,,,No,7,Missing,Missing,Missing,5,3,On most days,On most days,Rarely or never,Once a week or less,On most days,Once a week or less,On most days,On most days,Rarely or never,Once a week or less,Missing,0,Overweight,1,1,Missing,5,Yes,No,Yes,I have tried smoking once or twice,I have never vaped,Missing,No,No,No,No,No,No,Monthly or less,"No, I want to keep drinking alcohol",3,Weekly,Yes,No,No,No,No,No,I take drugs occasionally (less than once a week),No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Missing,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Missing,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Missing,Missing,It can be both treated and cured,I have heard of it but know nothing about it,It can be treated but not cured,It can be both treated and cured,Doctor,Not sure,Missing,Agree,Agree,Disagree,Missing,Agree,Agree,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Prefer not to say,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Neither safe or unsafe,Missing,Safe,Safe,No,No,Sometimes,No,Once or twice,No,Most days/Every day,Missing,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Missing,Sometimes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,Missing,Yes,Maybe
,,,,,,,,,14,Other,"Gay, lesbian or bisexual",Black,Muslim,Year 7,The Adeyfield Academy,Missing,No,No,No,No,No,Both parents,,,No,8,Missing,Missing,Missing,5,10,2-3 days a week,On most days,On most days,On most days,On most days,Once a week or less,Once a week or less,Once a week or less,2-3 days a week,On most days,Missing,0,Overweight,2 or more,3,Missing,0,Yes,No,No,I have never smoked,I have never vaped,Missing,No,No,No,Yes,No,Missing,Monthly or less,Missing,3,Never,No,No,No,No,No,No,I have never taken drugs,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,I'd like to reduce the amount I take but not stop,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Missing,Missing,I have never heard of it,It can be treated but not cured,It can be both treated and cured,I have never heard of it,Missing,Not sure,Missing,Missing,Agree,Missing,Agree,Missing,Agree,Not sure,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,No,Missing,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Missing,Yes,Missing,No,No,No,Unsafe,Missing,Safe,Neither safe or unsafe,"Yes, but I wasn't the victim","Yes, I was the victim",Never,Yes,Once or twice,No,Most days/Every day,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Sometimes,Missing,Yes,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,Missing,Maybe,Yes,Yes
,,,,,,,,,15,Male,"Gay, lesbian or bisexual",Black,No religion,Year 13,Missing,Missing,No,No,No,No,Missing,Foster parents or in a care home,,,No,9,Missing,Missing,Missing,3,6,2-3 days a week,Once a week or less,On most days,On most days,On most days,Once a week or less,Rarely or never,On most days,Once a week or less,Once a week or less,Missing,0,Overweight,1,3,Missing,3,Yes,No,No,Missing,Missing,Missing,No,No,No,No,No,Missing,Never,"No, I want to keep drinking alcohol",9,Missing,No,No,No,No,No,No,I have never taken drugs,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Missing,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Missing,Missing,Missing,It can be treated but not cured,It can be both treated and cured,It can be treated but not cured,Sexual health clinic,Not sure,Missing,Agree,Agree,Agree,Not sure,Disagree,Missing,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Not sure,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Missing,No,Missing,Yes,No,Yes,No,No,Prefer not to say,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Missing,No,Yes,No,Unsafe,Neither safe or unsafe,Safe,Safe,"Yes, I was the victim","Yes, I was the victim",Never,Yes,No,No,Missing,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Missing,Missing,Yes,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Missing,Maybe,No,Maybe,Yes,No
,,,,,,,,,18,Male,Heterosexual/Straight,White,No religion,Year 7,The Adeyfield Academy,Missing,No,No,No,No,Missing,Both parents,,,No,9,Missing,Missing,Missing,5,4,2-3 days a week,Once a week or less,Rarely or never,On most days,On most days,Once a week or less,Once a week or less,Once a week or less,Rarely or never,Once a week or less,Missing,0,Underweight,2 or more,6,Missing,3,No,Yes,No,I have never smoked,I have vaped once or twice,Missing,No,No,No,No,No,Missing,Monthly or less,"No, I want to keep drinking alcohol",6,Missing,Yes,No,No,No,No,No,I take drugs occasionally (less than once a week),No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Missing,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Missing,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,It can be both treated and cured,Doctor,Yes,Missing,Missing,Not sure,Agree,Not sure,Agree,Missing,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Not sure,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Missing,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Neither safe or unsafe,Missing,Safe,Missing,"Yes, but I wasn't the victim",No,Always,Prefer not to say,No,No,No,Missing,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Missing,Missing,Missing,Somewhat,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Maybe,Yes,Yes
,,,,,,,,,15,Other,Heterosexual/Straight,Mixed,Muslim,Year 11,The Adeyfield Academy,Missing,No,Yes,No,No,Missing,Both parents,,,Prefer not to say,6,Missing,Missing,Missing,5,4,2-3 days a week,Rarely or never,Rarely or never,On most days,On most days,Once a week or less,On most days,2-3 days a week,2-3 days a week,Once a week or less,Missing,0,Overweight,1,1,Missing,5,No,No,No,I smoke regularly (once a week or more),I have vaped once or twice,Missing,No,No,No,No,No,Missing,2-4 times a month,Missing,4,Monthly,No,No,No,No,Yes,No,I take drugs occasionally (less than once a week),No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,I'd like to reduce the amount I take but not stop,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Missing,Missing,It can be treated but not cured,It can be treated but not cured,It can be treated but not cured,I have never heard of it,Online (e.g. Sexwise website),Yes,Missing,Agree,Agree,Disagree,Agree,Disagree,Disagree,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Missing,Missing,No,No,Missing,Not sure,No,Yes,No,No,No,No,No,No,No,No,No,No,Missing,No,Missing,Yes,No,No,Neither safe or unsafe,Unsafe,Missing,Neither safe or unsafe,Missing,No,Never,Don't know,No,No,No,Missing,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Sometimes,No,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,Yes,No,No,Yes
,,,,,,,,,18,Female,"Gay, lesbian or bisexual",White,No religion,Year 11,The Adeyfield Academy,Missing,No,No,Yes,No,Yes,Foster parents or in a care home,,,No,5,Missing,Missing,Missing,5,7,Rarely or never,On most days,On most days,Once a week or less,Rarely or never,Once a week or less,Rarely or never,2-3 days a week,Once a week or less,Once a week or less,Missing,0,Overweight,2 or more,3,Missing,5,No,No,No,I have never smoked,Missing,Missing,No,No,No,No,No,Yes,Never,"Yes, I'd like to stop drinking alcohol",4,Less than monthly,No,No,No,Yes,No,No,I take drugs occasionally (less than once a week),No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Missing,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Missing,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Missing,Missing,It can be both treated and cured,It can be treated but not cured,It can be both treated and cured,It can be both treated and cured,Sexual health clinic,Missing,Missing,Not sure,Agree,Disagree,Disagree,Missing,Missing,Not sure,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Missing,Yes,No,No,No,Yes,Missing,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Unsafe,Unsafe,Missing,Neither safe or unsafe,No,"Yes, I was the victim",Never,Don't know,Once or twice,Once or twice,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Somewhat,Somewhat,No,No,No,No,No,No,No,No,No,No,Yes,Maybe,No,No,No,Yes
